date,pm10,pm25,ozone,no2,co,so2,avg,max,min,rain
2018-09-03,20,14,0.031,0.014,0.1,0.003,27,31.2,24.1,0.5
2018-09-04,21,16,0.063,0.009,0.2,0.001,26.2,29.1,23.5,7.1
2018-09-05,29,17,0.065,0.009,0.2,0.001,26.6,30.8,23.2,0
2018-09-06,39,20,0.071,0.014,0.2,0.003,26.2,29.2,24.5,0
2018-09-07,36,19,0.068,0.014,0.2,0.002,24.3,27.4,21,11.8
2018-09-08,24,9,0.043,0.012,0,0.003,22.3,24.9,19.4,0
2018-09-09,29,16,0.055,0.011,0.1,0.003,23,26.3,19.1,0
2018-09-10,30,13,0.054,0.007,0,0.002,23,26.2,20.2,0
2018-09-11,32,12,0.05,0.006,0,0.002,22.3,23.8,21.4,0.2
2018-09-12,33,16,0.051,0.008,0,0.002,23,24.8,21.4,0.2
2018-09-13,15,11,0.043,0.009,0,0.002,23.5,24.3,21.6,139.3
2018-09-14,27,13,0.037,0.011,0,0.003,25.3,27.8,23,0
2018-09-15,16,10,0.046,0.009,0.1,0.002,25.2,28,23.5,0.4
2018-09-16,16,11,0.05,0.008,0,0.002,25.5,28.5,23,0
2018-09-17,26,19,0.052,0.012,0.1,0.003,24.6,28.3,23.4,0.1
2018-09-18,24,13,0.057,0.011,0.2,0.002,25,28.1,23.4,0
2018-09-19,30,18,0.045,0.019,0.2,0.003,23.3,25.4,21.3,0
2018-09-20,32,20,0.045,0.014,0.2,0.002,25.2,27.7,22.3,11.6
2018-09-21,21,10,0.046,0.012,0.2,0.002,24.5,28.2,23.4,2.9
2018-09-22,34,18,0.059,0.01,0.2,0.002,24.2,27.6,22.3,0
2018-09-23,51,26,0.066,0.01,0.2,0.002,24.4,29.6,21.2,0
2018-09-24,33,12,0.059,0.008,0.1,0.002,21.9,23.7,19.2,0
2018-09-25,24,12,0.057,0.006,0.1,0.003,21.5,24.1,19.3,0
2018-09-26,32,12,0.052,0.005,0,0.003,22.2,24.9,20.8,0
2018-09-27,24,10,0.05,0.007,0,0.002,21.2,23.6,18.5,0
2018-09-28,28,11,0.05,0.007,0,0.002,21.7,24.3,19.4,0
2018-09-29,23,11,0.049,0.008,0,0.002,20.7,22.3,18.5,3
2018-09-30,30,13,0.055,0.006,0,0.003,21.9,25.2,20.2,0
